Rank,Feature ID,Activation,Explanation,Top Positive Tokens,Sparsity,Neuronpedia URL
1,208,289.75,"Himalayas, particularly in the region around; Birch (formerly of RSA Security):; : The Move to Dessau:**; judgment, decided in 20; 1. **Mandatory Access","sogenannte, sogenannten, southern, 稱為, northeastern, northern, northwestern, southwestern",7.77,https://www.neuronpedia.org/gemma-3-1b-it/13-gemmascope-2-res-16k/208
2,667,283.75,"Statc of Punjab
Vers; ""The Joke of the Century"").; *The Shape of Water* -; how a pyramid of numbers is different; an empty slice of strings in gol","sorts, 》、《, mankind, sirens, mencionado, kaca, UserController, хранения",1.39,https://www.neuronpedia.org/gemma-3-1b-it/13-gemmascope-2-res-16k/667
3,210,266.25,"seat of the German government and the; * **United States:** Currently; Everest and Kantang Mountains.; . The Treaty of Versailles & Its; planetas del Sistema Solar, desde","proclamation, proclam, gouver, treaties, territorios, Census, subdivisions, promulgated",3.43,https://www.neuronpedia.org/gemma-3-1b-it/13-gemmascope-2-res-16k/210
4,7055,210.25,"capital of Argentina is **Buenos Aires; of Bulgaria is **Sofia**.; **Johannesburg, South Africa:**; -Trent is **Stoke**.; ibouti** ▁▁▁| Djibouti City ▁▁▁▁▁","প্তি, शहर, हट, 潴, هە, měst, நகரம், городов",0.3,https://www.neuronpedia.org/gemma-3-1b-it/13-gemmascope-2-res-16k/7055
5,374,199.0,"user
list of Jamaican politicians; provide a summary of this page,; user
give me a list; how to have anal sex; user
What blood tests should","</h2>, </h1>, )?, </th>, </h3>, essay, ?",9.49,https://www.neuronpedia.org/gemma-3-1b-it/13-gemmascope-2-res-16k/374
6,1553,181.75,"assigned to the variable `today`.; without using the word ""the"":; asking about the term ""bimbo; stored in the variable `name`.; 980 film *Jaws","H, 《, An, টি, trillion, Ar, extraordinaire, belonging",0.37,https://www.neuronpedia.org/gemma-3-1b-it/13-gemmascope-2-res-16k/1553
7,249,151.125,"Substance Abuse and Mental Health Services Administration; increases in climate and weather extremes,; **The National Domestic Violence Hotline:**; ▁▁**Consumer Financial Protection Bureau (; Does Not Dream of Bunny Girl Sen","humanitarian, ciencias, sciences, bienestar, integrative, 促进, науки, ciências",8.45,https://www.neuronpedia.org/gemma-3-1b-it/13-gemmascope-2-res-16k/249
8,63,139.625,. ▁**Mount Elbrus**; Venkatarama Kulkarni; fil-A Grilled Chicken Sandwich:**; apps (like Google Search).; * ▁▁**Norman Manley:**,"N, P, M, G, B, Man, C, E",8.32,https://www.neuronpedia.org/gemma-3-1b-it/13-gemmascope-2-res-16k/63
9,485,120.0,"me – what are your initial thoughts; , could you tell me:; control *what* resources users can; , think about what genuinely brings you; want to understand how AI might generate","<unused2169>, <unused2197>, <unused2204>, <unused2157>, ╿, <unused2164>, <unused1604>, <unused566>",16.75,https://www.neuronpedia.org/gemma-3-1b-it/13-gemmascope-2-res-16k/485
10,90,115.5625,"right here in Newark, Delaware!; downtown St. Louis; Drive towards Crescent City, California.; for traveling from Boston to New York; will win the Berlin Major in Dota","hosted, resident, skyline, municipality, vicinity, urbanization, region, Airport",2.01,https://www.neuronpedia.org/gemma-3-1b-it/13-gemmascope-2-res-16k/90
11,6639,114.0,en la batalla de Austerlitz; originally conceived by Alan Turing in; ler):** Adolf Hitler and the; – Fascism under Mussolini and Naz; and Germany (under Hitler) embraced,"Sasuke, yclerView, maravilh, berühm, গাঙ্গুলির, asaddo, kaos, arrogant",0.51,https://www.neuronpedia.org/gemma-3-1b-it/13-gemmascope-2-res-16k/6639
12,1732,105.125,":** They operate globally, with offices; translate between Chinese and other languages:**; can vary by region due to demand; include nationality or territory references of people; and energy infrastructure in some countries can","countries, países, Countries, Countries, nations, countries, country, país",2.46,https://www.neuronpedia.org/gemma-3-1b-it/13-gemmascope-2-res-16k/1732
13,613,104.5625,"user
write me a dbz; I'm writing a fiction.; user
Write me a short story; flare now I want a seperate account; user
write a golang","een, pueda, 引进, lleve, muziek, ت, vente, empresa",4.52,https://www.neuronpedia.org/gemma-3-1b-it/13-gemmascope-2-res-16k/613
14,1961,98.0625,"vast country located in East Asia!; Geography:** Primarily located in Southeast Asia; This stunning city in Rajasthan, India; Xinjiang's location, resources,; , cluttered workshop nestled in the heart","ridges, bölg, ulnerable, near, близи, Gebiet, 周围, thuộc",0.47,https://www.neuronpedia.org/gemma-3-1b-it/13-gemmascope-2-res-16k/1961
15,1110,97.5625,▁▁▁* **Pros:** Easy to; * **Key Work:** ▁Focus; * ▁▁**Characters:** Christian and; ▁▁* **Cost:** Free.; **What it is:** A bowl,":, Standardization, Advance, :}, Socialism, Fraud, шают, 없음",1.24,https://www.neuronpedia.org/gemma-3-1b-it/13-gemmascope-2-res-16k/1110
16,6530,96.1875,"this jet is called an ""elekt; into smaller units called *tokens*.; -like structures called ""eyesp; massive neural network called a Large Language; scripting language (called ""SimpleImpl","quits, ""<, }^{*},, «, "", \"", ┄, „",0.12,https://www.neuronpedia.org/gemma-3-1b-it/13-gemmascope-2-res-16k/6530
17,272,95.125,"▁▁**Norman Manley:** (; arthritis, systemic lupus erythematosus, and; Substance Abuse and Mental Health Services Administration; . **Mai Sakurajima (; * **Beyerdynamic DT","Apartments, Pogis, 䐍, TestSource, 𒂀, 渦柱, Polynucleaires, HtIdx",5.82,https://www.neuronpedia.org/gemma-3-1b-it/13-gemmascope-2-res-16k/272
18,635,94.125,):** Drive to the North Shore; Crescent City’s restaurants – “; Evening:** Dinner in Myeongdong; * **Location:** Stephansplatz; a day wandering through the Hofbrä,"downtown, riverside, picturesque, waterfront, scenic, boulevard, wharf, charming",1.06,https://www.neuronpedia.org/gemma-3-1b-it/13-gemmascope-2-res-16k/635
19,710,90.375,"of stunning mountain scenery, lakeside relaxation; and a beautiful landscape. Perfect for; Day 2: North Shore Adventure; the Whispering Woods, a place; Korea holiday, balancing popular attractions with","scenic, mountainous, inland, picturesque, coastal, trekking, hiking, paisajes",1.92,https://www.neuronpedia.org/gemma-3-1b-it/13-gemmascope-2-res-16k/710
20,81,88.875,"To store pig's position,; ▁If you're interested in; **Why it's great:**; rarely acknowledged.
* **""; injection.
 ▁▁▁* **Aut","renowned, famed, pioneered, acronym, widely, eponymous, merupakan, acclaimed",10.31,https://www.neuronpedia.org/gemma-3-1b-it/13-gemmascope-2-res-16k/81
